City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Geneva,US,2022-05-19 17:42:22,41.8875,-88.3054,82.62,60,0,10.36
68,Ewa Beach,US,2022-05-19 17:38:41,21.3156,-158.0072,78.75,86,100,9.22
69,Kavieng,PG,2022-05-19 17:42:22,-2.5744,150.7967,81.39,79,9,8.39
70,Boddam,GB,2022-05-19 17:42:22,57.4667,-1.7833,64.78,78,39,16.53
71,Havoysund,NO,2022-05-19 17:42:23,70.9963,24.6622,35.83,69,58,4.59
72,Scarborough,GB,2022-05-19 17:39:59,54.2797,-0.4044,63.93,46,82,4.63
73,Saint George,US,2022-05-19 17:39:05,37.1041,-113.5841,91.63,12,17,8.01
74,Vallenar,CL,2022-05-19 17:42:23,-28.5708,-70.7581,69.85,36,83,4.47
75,Chuy,UY,2022-05-19 17:42:24,-33.6971,-53.4616,61.86,52,22,7.34
76,Shelburne,CA,2022-05-19 17:42:24,44.0787,-80.2041,60.76,76,99,11.99
77,San Cristobal,VE,2022-05-19 17:42:25,7.7669,-72.225,78.98,53,100,8.7
78,Filadelfia,US,2022-05-19 17:42:25,39.9523,-75.1638,74.88,76,100,6.91
79,Bobon,PH,2022-05-19 17:42:26,12.5246,124.5636,76.62,92,89,5.66
80,Hofn,IS,2022-05-19 17:42:26,64.2539,-15.2082,50.02,93,100,13.8
81,Karratha,AU,2022-05-19 17:42:27,-20.7377,116.8463,74.93,74,0,4.32
82,Ulaanbaatar,MN,2022-05-19 17:42:27,47.9077,106.8832,48.33,40,0,2.24
83,Menongue,AO,2022-05-19 17:42:27,-14.6585,17.691,63.12,47,0,0.6
84,Korla,CN,2022-05-19 17:42:28,41.7597,86.1469,78.67,15,72,6.26
85,Guerrero Negro,MX,2022-05-19 17:42:28,27.9769,-114.0611,67.01,58,41,10.4
86,Vodnyy,RU,2022-05-19 17:42:29,63.5046,53.4095,34.63,93,100,8.61
87,Torbay,CA,2022-05-19 17:42:29,47.6666,-52.7314,52.29,74,18,8.01
88,Labuhan,ID,2022-05-19 17:42:30,-6.8844,112.2051,79.16,87,96,7.11
89,Brae,GB,2022-05-19 17:42:30,60.3964,-1.353,54.09,68,9,14.14
