City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
471,Uyskoye,RU,50.76,54.3775,60.0047,Niva
473,Artyom,AZ,59.14,40.4723,50.333,Pir hos
476,Oksfjord,NO,48.27,70.2396,22.3479,
481,Saint Anthony,US,54.82,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
483,Dunedin,NZ,47.8,-45.8742,170.5036,Scenic Hotel Southern Cross
487,Homer,US,54.03,59.6425,-151.5483,Beluga Lake Lodge
495,Fallon,US,43.45,39.4735,-118.7774,Best Western Fallon Inn & Suites
499,Paamiut,GL,35.94,61.994,-49.6678,Pistut
500,Castlemaine,AU,45.28,-37.0667,144.2167,Fig Cafe & Accommodation
502,Usvyaty,RU,49.78,55.7456,30.7533,Gostinitsa Usvyacha
504,Yantal,RU,59.25,56.8471,105.2542,
507,Gimli,CA,35.62,50.6336,-96.9907,Lakeview Gimli Resort
513,Neuquen,AR,49.89,-38.9516,-68.0591,Hotel del Comahue
515,Port Macquarie,AU,57.88,-31.4333,152.9167,Rydges Port Macquarie
516,Kuybyshevskiy Zaton,RU,45.37,55.1593,49.1701,
517,Copiapo,CL,58.69,-27.3667,-70.3333,Antay Casino Hotel
519,Prieska,ZA,53.29,-29.6641,22.7474,Avenue GuestHouse
521,Snezhnogorsk,RU,44.38,69.1933,33.2531,Severnoye Siyaniye
523,Taywarah,AF,56.57,33.35,64.4167,
525,Waipawa,NZ,41.99,-41.4122,175.5153,Tora Coastal Walk
529,Caohai,CN,51.28,26.8661,104.2841,Jinhua Hotel
532,Villazon,BO,51.44,-22.0866,-65.5942,La Candelaria
533,Vestmanna,FO,49.12,62.1564,-7.1664,Vestmanna Camping
542,North Platte,US,51.12,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
544,Kargasok,RU,57.02,59.0556,80.8572,Hotel Kargasok
545,Aleksandrov Gay,RU,51.75,50.147,48.5704,Gostinitsa
547,Talcahuano,CL,56.88,-36.7167,-73.1167,departamento comodo
548,Vostok,RU,48.43,46.4856,135.8833,
551,Vestmannaeyjar,IS,49.19,63.4427,-20.2734,Glamping & Camping
558,Oktyabrskiy,RU,44.69,54.4815,53.471,Гостиница Октябрьская
560,Ordzhonikidze,KZ,53.19,52.4411,61.7408,Tomiris
570,Nuuk,GL,37.36,64.1835,-51.7216,Vandrehuset
576,Baykit,RU,51.93,61.67,96.37,
578,Christchurch,NZ,39.4,-43.5333,172.6333,The George
582,Ostrovnoy,RU,33.84,68.0531,39.5131,
586,Sawtell,AU,59.02,-30.3833,153.1,The Bungalow Sawtell
589,Zhaotong,CN,52.65,27.3167,103.7167,Jingguan Home
598,Osorno,CL,54.25,-40.5667,-73.15,Sonesta Hotel Osorno
600,Taldan,RU,42.44,53.6667,124.8,
603,Kedgwick,CA,59.99,47.6446,-67.3434,A la Belle Etoile
606,Hemnesberget,NO,56.12,66.2333,13.6333,Hemnesberget molo
610,Qaqortoq,GL,39.99,60.7167,-46.0333,Siniffik Inn
614,Swan Hill,AU,47.7,-35.3378,143.5544,Lazy River Motor Inn
615,Nome,US,55.47,64.5011,-165.4064,Dredge 7 Inn
616,Evensk,RU,37.49,61.95,159.2333,
618,Cap-Aux-Meules,CA,59.05,47.3821,-61.8597,Auberge Madeli
623,Jumla,NP,58.03,29.2747,82.1838,Royal Garden Hotel
625,Kamenka,RU,51.93,51.3223,42.7678,
626,Leh,IN,50.2,34.1667,77.5833,Hotel Ladakh Greens
628,Hokitika,NZ,43.84,-42.7167,170.9667,Beachfront Hotel Hokitika
629,Tommot,RU,39.81,58.9564,126.2925,Gostinitsa Tommot
630,Moree,AU,54.79,-29.4667,149.85,Molika Springs Motel
631,Zabaykalsk,RU,59.25,49.6333,117.3167,Zheleznyy Mir
642,Broken Hill,AU,50.72,-31.95,141.4333,Royal Exchange Hotel
653,West Wendover,US,41.47,40.7391,-114.0733,"Motel 6 Wendover, UT"
656,Shumskiy,RU,57.38,54.8318,99.1328,
660,Lakselv,NO,51.62,70.0513,24.9718,Lakselv Hotel
662,Almaznyy,RU,59.31,48.0448,40.045,
663,Noyabrsk,RU,43.48,63.1994,75.4507,Hotel Uyutnaya
664,Chivay,PE,53.47,-15.6383,-71.6011,Casa Andina Standard Colca
668,Miyako,JP,57.6,39.6367,141.9525,Hotel Route Inn Miyako
670,Usinsk,RU,37.72,65.9939,57.5281,Dobro Pozhalovaty
674,Gagino,RU,45.63,55.2314,45.0339,Mini-Otel'
679,Nizhniy Ingash,RU,55.98,56.2,96.53,Gostinitsa Bayazet
680,Weihai,CN,59.5,37.5017,122.1136,Beihai Travel Resort
683,Coihueco,CL,54.34,-36.6167,-71.8333,Frutillares Centro Coihueco
